FID,OBJECTID,num_L1,num_L2,num_DC,num_Bus
122,122,0,0,0,10
123,123,0,0,0,10
124,124,0,10,0,10
125,125,0,0,0,10
126,126,0,0,0,10
127,127,0,40,0,10
128,128,0,0,0,10
129,129,0,10,0,10
130,130,0,0,0,10
131,131,0,0,0,10
132,132,0,20,0,10
133,133,0,40,0,10
134,134,0,0,0,10
135,135,0,10,0,10
136,136,0,10,0,10
137,137,0,10,0,10
138,138,0,10,0,10
139,139,0,0,0,10
140,140,0,0,0,10
141,141,0,0,0,10
142,142,0,0,0,10
143,143,0,0,0,10
144,144,0,0,0,10
145,145,0,0,0,10
146,146,0,10,0,10
147,147,0,0,0,10
148,148,0,0,0,10
149,149,0,0,0,10
150,150,0,0,0,10
151,151,0,0,0,10
152,152,0,0,0,10
153,153,0,0,0,10
154,154,0,0,0,10
155,155,0,0,0,10
156,156,0,20,0,10
157,157,0,20,0,10
158,158,0,10,0,10
159,159,0,10,0,10
160,160,0,0,0,10
161,161,0,10,0,10
162,162,0,0,0,10
163,163,0,0,0,10
164,164,0,0,0,10
165,165,0,20,0,10
166,166,0,0,0,10
167,167,0,0,0,10
168,168,0,0,0,10
169,169,0,0,0,10
170,170,0,0,0,10
171,171,0,0,0,10
172,172,0,0,0,10
173,173,0,0,0,10
174,174,0,10,0,10
175,175,0,0,0,10
176,176,0,20,0,10
177,177,0,0,0,10
178,178,0,0,0,10
179,179,0,0,0,10
180,180,0,0,0,10
181,181,0,20,0,10
182,182,0,0,0,10
183,183,0,0,0,10
184,184,0,10,0,10
185,185,0,0,0,10
186,186,0,0,0,10
187,187,0,0,0,10
188,188,0,0,0,10
189,189,0,0,0,10
190,190,0,0,0,10
191,191,0,0,0,10
192,192,0,0,0,10
193,193,0,10,0,10
194,194,0,0,0,10
195,195,0,0,0,10
196,196,0,0,0,10
197,197,0,0,0,10
198,198,0,0,0,10
199,199,0,0,0,10
200,200,0,0,0,10
201,201,0,0,0,10
202,202,0,0,0,10
203,203,0,0,0,10
204,204,0,0,0,10
205,205,0,0,0,10
206,206,0,0,0,10
207,207,0,0,0,10
208,208,0,0,0,10
209,209,0,0,0,10
210,210,0,0,0,10
211,211,0,0,0,10
212,212,0,0,0,10
213,213,0,0,0,10
214,214,0,0,0,10
215,215,0,0,0,10
216,216,0,0,0,10
217,217,0,0,0,10
218,218,0,10,0,10
219,219,0,10,0,10
220,220,0,0,0,10
221,221,0,10,0,10
222,222,0,0,0,10
223,223,0,0,0,10
224,224,0,10,0,10
225,225,0,20,0,10
226,226,0,0,0,10
227,227,0,10,0,10
228,228,0,20,0,10
229,229,0,0,0,10
230,230,0,0,0,10
231,231,0,10,0,10
232,232,0,10,0,10
233,233,0,10,0,10
234,234,0,10,0,10
235,235,0,0,0,10
236,236,0,0,0,10
237,237,0,0,0,10
238,238,0,0,0,10
239,239,0,0,0,10
240,240,0,0,0,10
241,241,0,0,0,10
242,242,0,0,0,10
243,243,0,0,0,10
244,244,0,0,0,10
245,245,0,0,0,10
246,246,0,0,0,10
247,247,0,0,0,10
248,248,0,0,0,10
249,249,0,0,0,10
250,250,0,10,0,10
251,251,0,10,0,10
252,252,0,0,0,10
253,253,0,0,0,10
254,254,0,0,0,10
255,255,0,0,0,10
256,256,0,0,0,10
257,257,0,0,0,10
258,258,0,10,0,10
